,Titulo,Precio,Imagen
31,"Bitch Planet, Vol. 1: ...",37.92,http://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html
32,The Shadow Hero (The ...,33.14,http://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html
33,"Fables, Vol. 1: Legends ...",41.62,http://books.toscrape.com/catalogue/fables-vol-1-legends-in-exile-fables-1_806/index.html
34,Batman: The Long Halloween ...,36.5,http://books.toscrape.com/catalogue/batman-the-long-halloween-batman_793/index.html
35,Batman: The Dark Knight ...,15.38,http://books.toscrape.com/catalogue/batman-the-dark-knight-returns-batman_792/index.html
36,"Wonder Woman: Earth One, ...",37.34,http://books.toscrape.com/catalogue/wonder-woman-earth-one-volume-one-wonder-woman-earth-one-1_783/index.html
37,"We Are Robin, Vol. ...",53.9,http://books.toscrape.com/catalogue/we-are-robin-vol-1-the-vigilante-business-we-are-robin-1_778/index.html
38,Through the Woods,25.38,http://books.toscrape.com/catalogue/through-the-woods_772/index.html
39,Superman Vol. 1: Before ...,11.89,http://books.toscrape.com/catalogue/superman-vol-1-before-truth-superman-by-gene-luen-yang-1_739/index.html
40,"So Cute It Hurts!!, ...",35.43,http://books.toscrape.com/catalogue/so-cute-it-hurts-vol-6-so-cute-it-hurts-6_734/index.html
41,Robin War,47.82,http://books.toscrape.com/catalogue/robin-war_730/index.html
42,"Red Hood/Arsenal, Vol. 1: ...",25.48,http://books.toscrape.com/catalogue/red-hoodarsenal-vol-1-open-for-business-red-hoodarsenal-1_729/index.html
43,"Naruto (3-in-1 Edition), Vol. ...",38.39,http://books.toscrape.com/catalogue/naruto-3-in-1-edition-vol-14-includes-vols-40-41-42-naruto-omnibus-14_721/index.html
44,Lowriders to the Center ...,51.51,http://books.toscrape.com/catalogue/lowriders-to-the-center-of-the-earth-lowriders-in-space-2_712/index.html
45,El Deafo,57.62,http://books.toscrape.com/catalogue/el-deafo_691/index.html
46,Batman: Europa,32.01,http://books.toscrape.com/catalogue/batman-europa_668/index.html
47,Art Ops Vol. 1,48.8,http://books.toscrape.com/catalogue/art-ops-vol-1_664/index.html
48,Adulthood Is a Myth: ...,10.9,http://books.toscrape.com/catalogue/adulthood-is-a-myth-a-sarahs-scribbles-collection_659/index.html
49,"Fruits Basket, Vol. 9 ...",33.95,http://books.toscrape.com/catalogue/fruits-basket-vol-9-fruits-basket-9_563/index.html
50,Roller Girl,14.1,http://books.toscrape.com/catalogue/roller-girl_540/index.html
51,The Mysterious Affair at ...,24.8,http://books.toscrape.com/catalogue/the-mysterious-affair-at-styles-hercule-poirot-1_452/index.html
52,In the Woods (Dublin ...,38.38,http://books.toscrape.com/catalogue/in-the-woods-dublin-murder-squad-1_433/index.html
53,The Silkworm (Cormoran Strike ...,23.05,http://books.toscrape.com/catalogue/the-silkworm-cormoran-strike-2_280/index.html
54,The Exiled,43.45,http://books.toscrape.com/catalogue/the-exiled_247/index.html
55,The Cuckoo's Calling (Cormoran ...,19.21,http://books.toscrape.com/catalogue/the-cuckoos-calling-cormoran-strike-1_239/index.html
56,Extreme Prey (Lucas Davenport ...,25.4,http://books.toscrape.com/catalogue/extreme-prey-lucas-davenport-26_154/index.html
57,Career of Evil (Cormoran ...,24.72,http://books.toscrape.com/catalogue/career-of-evil-cormoran-strike-3_137/index.html
58,The No. 1 Ladies' ...,57.7,http://books.toscrape.com/catalogue/the-no-1-ladies-detective-agency-no-1-ladies-detective-agency-1_76/index.html
59,The Girl You Lost,12.29,http://books.toscrape.com/catalogue/the-girl-you-lost_66/index.html
60,The Girl In The ...,15.85,http://books.toscrape.com/catalogue/the-girl-in-the-ice-dci-erika-foster-1_65/index.html
61,Blood Defense (Samantha Brinkman ...,20.3,http://books.toscrape.com/catalogue/blood-defense-samantha-brinkman-1_8/index.html
62,1st to Die (Women's ...,53.98,http://books.toscrape.com/catalogue/1st-to-die-womens-murder-club-1_2/index.html
63,"Y: The Last Man, ...",18.51,http://books.toscrape.com/catalogue/y-the-last-man-vol-1-unmanned-y-the-last-man-1_98/index.html
64,The Wicked + The ...,36.52,http://books.toscrape.com/catalogue/the-wicked-the-divine-vol-1-the-faust-act-the-wicked-the-divine_86/index.html
65,"The Sandman, Vol. 1: ...",54.12,http://books.toscrape.com/catalogue/the-sandman-vol-1-preludes-and-nocturnes-the-sandman-volumes-1_79/index.html
66,The Complete Maus (Maus ...,10.64,http://books.toscrape.com/catalogue/the-complete-maus-maus-1-2_62/index.html
67,"Skip Beat!, Vol. 01 ...",42.12,http://books.toscrape.com/catalogue/skip-beat-vol-01-skip-beat-1_55/index.html
68,"Saga, Volume 1 (Saga ...",28.48,http://books.toscrape.com/catalogue/saga-volume-1-saga-collected-editions-1_48/index.html
69,"Rat Queens, Vol. 1: ...",46.96,http://books.toscrape.com/catalogue/rat-queens-vol-1-sass-sorcery-rat-queens-collected-editions-1-5_46/index.html
70,"Paper Girls, Vol. 1 ...",21.71,http://books.toscrape.com/catalogue/paper-girls-vol-1-paper-girls-1-5_44/index.html
71,Ouran High School Host ...,29.87,http://books.toscrape.com/catalogue/ouran-high-school-host-club-vol-1-ouran-high-school-host-club-1_43/index.html
72,"Ms. Marvel, Vol. 1: ...",39.39,http://books.toscrape.com/catalogue/ms-marvel-vol-1-no-normal-ms-marvel-2014-2015-1_34/index.html
73,"Hawkeye, Vol. 1: My ...",45.24,http://books.toscrape.com/catalogue/hawkeye-vol-1-my-life-as-a-weapon-hawkeye-1_24/index.html
74,"Giant Days, Vol. 1 ...",56.76,http://books.toscrape.com/catalogue/giant-days-vol-1-giant-days-1-4_22/index.html
75,"Fruits Basket, Vol. 1 ...",40.28,http://books.toscrape.com/catalogue/fruits-basket-vol-1-fruits-basket-1_21/index.html
76,"Bleach, Vol. 1: Strawberry ...",34.65,http://books.toscrape.com/catalogue/bleach-vol-1-strawberry-and-the-soul-reapers-bleach-1_7/index.html
77,"Ajin: Demi-Human, Volume 1 ...",57.06,http://books.toscrape.com/catalogue/ajin-demi-human-volume-1-ajin-demi-human-1_4/index.html
78,Tipping the Velvet,53.74,http://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html
79,Forever and Forever: The ...,29.69,http://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
80,A Flight of Arrows ...,55.53,http://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html
81,The House by the ...,36.95,http://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html
82,Mrs. Houdini,30.25,http://books.toscrape.com/catalogue/mrs-houdini_821/index.html
83,The Marriage of Opposites,28.08,http://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html
84,Glory over Everything: Beyond ...,45.84,http://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html
85,"Love, Lies and Spies",20.55,http://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html
86,A Paris Apartment,39.01,http://books.toscrape.com/catalogue/a-paris-apartment_612/index.html
87,Lilac Girls,17.28,http://books.toscrape.com/catalogue/lilac-girls_597/index.html
88,The Constant Princess (The ...,16.62,http://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html
89,The Invention of Wings,37.34,http://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html
90,World Without End (The ...,32.97,http://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html
91,The Passion of Dolssa,28.32,http://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html
92,Girl With a Pearl ...,26.77,http://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html
93,Voyager (Outlander #3),21.07,http://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html
94,The Red Tent,35.66,http://books.toscrape.com/catalogue/the-red-tent_273/index.html
95,The Last Painting of ...,55.55,http://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html
96,The Guernsey Literary and ...,49.53,http://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html
97,Girl in the Blue ...,46.83,http://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html
98,Scott Pilgrim's Precious Little ...,52.29,http://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html
99,Tsubasa: WoRLD CHRoNiCLE 2 ...,16.28,http://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
100,This One Summer,19.49,http://books.toscrape.com/catalogue/this-one-summer_947/index.html
101,The Nameless City (The ...,38.16,http://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
102,"Saga, Volume 5 (Saga ...",51.04,http://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
103,"Rat Queens, Vol. 3: ...",50.4,http://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
104,"Princess Jellyfish 2-in-1 Omnibus, ...",13.61,http://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
105,"Pop Gun War, Volume ...",18.97,http://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
106,Patience,10.16,http://books.toscrape.com/catalogue/patience_916/index.html
107,"Outcast, Vol. 1: A ...",15.44,http://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
108,orange: The Complete Collection ...,48.41,http://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
109,"Lumberjanes, Vol. 2: Friendship ...",46.91,http://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
110,"Lumberjanes, Vol. 1: Beware ...",45.61,http://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
111,Lumberjanes Vol. 3: A ...,19.92,http://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
112,"I Hate Fairyland, Vol. ...",29.17,http://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
113,I am a Hero ...,54.63,http://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html
114,"Giant Days, Vol. 2 ...",22.11,http://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html
115,Danganronpa Volume 1,51.99,http://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html
116,"Codename Baboushka, Volume 1: ...",36.72,http://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html
117,Camp Midnight,17.08,http://books.toscrape.com/catalogue/camp-midnight_886/index.html
118,Between Shades of Gray,20.79,http://books.toscrape.com/catalogue/between-shades-of-gray_128/index.html
119,While You Were Mine,41.32,http://books.toscrape.com/catalogue/while-you-were-mine_97/index.html
120,The Secret Healer,34.56,http://books.toscrape.com/catalogue/the-secret-healer_80/index.html
121,Starlark,25.83,http://books.toscrape.com/catalogue/starlark_56/index.html
122,Lost Among the Living,27.7,http://books.toscrape.com/catalogue/lost-among-the-living_31/index.html
123,A Spy's Devotion (The ...,16.97,http://books.toscrape.com/catalogue/a-spys-devotion-the-regency-spies-of-london-1_3/index.html
124,"Fruits Basket, Vol. 7 ...",19.57,http://books.toscrape.com/catalogue/fruits-basket-vol-7-fruits-basket-7_468/index.html
125,"Fruits Basket, Vol. 6 ...",20.96,http://books.toscrape.com/catalogue/fruits-basket-vol-6-fruits-basket-6_427/index.html
126,"Death Note, Vol. 6: ...",36.39,http://books.toscrape.com/catalogue/death-note-vol-6-give-and-take-death-note-6_425/index.html
127,"Fruits Basket, Vol. 5 ...",16.33,http://books.toscrape.com/catalogue/fruits-basket-vol-5-fruits-basket-5_376/index.html
128,"Death Note, Vol. 5: ...",52.41,http://books.toscrape.com/catalogue/death-note-vol-5-whiteout-death-note-5_368/index.html
129,The Demon Prince of ...,27.88,http://books.toscrape.com/catalogue/the-demon-prince-of-momochi-house-vol-4-the-demon-prince-of-momochi-house-4_344/index.html
130,"Fruits Basket, Vol. 4 ...",50.44,http://books.toscrape.com/catalogue/fruits-basket-vol-4-fruits-basket-4_321/index.html
131,The Wicked + The ...,14.41,http://books.toscrape.com/catalogue/the-wicked-the-divine-vol-3-commercial-suicide-the-wicked-the-divine_287/index.html
132,"The Sandman, Vol. 3: ...",55.55,http://books.toscrape.com/catalogue/the-sandman-vol-3-dream-country-the-sandman-volumes-3_279/index.html
133,"Saga, Volume 3 (Saga ...",21.57,http://books.toscrape.com/catalogue/saga-volume-3-saga-collected-editions-3_216/index.html
134,Prodigy: The Graphic Novel ...,43.63,http://books.toscrape.com/catalogue/prodigy-the-graphic-novel-legend-the-graphic-novel-2_207/index.html
135,Persepolis: The Story of ...,39.13,http://books.toscrape.com/catalogue/persepolis-the-story-of-a-childhood-persepolis-1-2_206/index.html
136,Original Fake,31.45,http://books.toscrape.com/catalogue/original-fake_203/index.html
137,"Grayson, Vol 3: Nemesis ...",42.72,http://books.toscrape.com/catalogue/grayson-vol-3-nemesis-grayson-3_164/index.html
138,"Fruits Basket, Vol. 3 ...",45.17,http://books.toscrape.com/catalogue/fruits-basket-vol-3-fruits-basket-3_159/index.html
139,"Black Butler, Vol. 1 ...",49.31,http://books.toscrape.com/catalogue/black-butler-vol-1-black-butler-1_130/index.html
140,Awkward,38.02,http://books.toscrape.com/catalogue/awkward_124/index.html
141,"The Sandman, Vol. 2: ...",54.81,http://books.toscrape.com/catalogue/the-sandman-vol-2-the-dolls-house-the-sandman-volumes-2_110/index.html
142,"Saga, Volume 2 (Saga ...",11.75,http://books.toscrape.com/catalogue/saga-volume-2-saga-collected-editions-2_107/index.html
143,"Fruits Basket, Vol. 2 ...",11.64,http://books.toscrape.com/catalogue/fruits-basket-vol-2-fruits-basket-2_100/index.html
144,Sophie's World,15.94,http://books.toscrape.com/catalogue/sophies-world_966/index.html
145,The Death of Humanity: ...,58.11,http://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
146,The Stranger,17.44,http://books.toscrape.com/catalogue/the-stranger_861/index.html
147,Proofs of God: Classical ...,54.21,http://books.toscrape.com/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html
148,Kierkegaard: A Christian Missionary ...,47.13,http://books.toscrape.com/catalogue/kierkegaard-a-christian-missionary-to-christians_527/index.html
149,At The Existentialist Café: ...,29.93,http://books.toscrape.com/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html
150,Critique of Pure Reason,20.75,http://books.toscrape.com/catalogue/critique-of-pure-reason_366/index.html
151,"Run, Spot, Run: The ...",20.02,http://books.toscrape.com/catalogue/run-spot-run-the-ethics-of-keeping-pets_106/index.html
152,The Nicomachean Ethics,36.34,http://books.toscrape.com/catalogue/the-nicomachean-ethics_75/index.html
153,Meditations,25.89,http://books.toscrape.com/catalogue/meditations_33/index.html
154,Beyond Good and Evil,43.38,http://books.toscrape.com/catalogue/beyond-good-and-evil_6/index.html
155,The Secret Garden,15.08,http://books.toscrape.com/catalogue/the-secret-garden_413/index.html
156,The Metamorphosis,28.58,http://books.toscrape.com/catalogue/the-metamorphosis_409/index.html
157,The Pilgrim's Progress,50.26,http://books.toscrape.com/catalogue/the-pilgrims-progress_353/index.html
158,The Hound of the ...,14.82,http://books.toscrape.com/catalogue/the-hound-of-the-baskervilles-sherlock-holmes-5_348/index.html
159,Little Women (Little Women ...,28.07,http://books.toscrape.com/catalogue/little-women-little-women-1_331/index.html
160,Gone with the Wind,32.49,http://books.toscrape.com/catalogue/gone-with-the-wind_324/index.html
161,Candide,58.63,http://books.toscrape.com/catalogue/candide_316/index.html
162,Animal Farm,57.22,http://books.toscrape.com/catalogue/animal-farm_313/index.html
163,Wuthering Heights,17.73,http://books.toscrape.com/catalogue/wuthering-heights_307/index.html
164,The Picture of Dorian ...,29.7,http://books.toscrape.com/catalogue/the-picture-of-dorian-gray_270/index.html
165,The Complete Stories and ...,26.78,http://books.toscrape.com/catalogue/the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition_238/index.html
166,Beowulf,38.35,http://books.toscrape.com/catalogue/beowulf_126/index.html
167,And Then There Were ...,35.01,http://books.toscrape.com/catalogue/and-then-there-were-none_119/index.html
168,The Story of Hong ...,43.19,http://books.toscrape.com/catalogue/the-story-of-hong-gildong_84/index.html
169,The Little Prince,45.42,http://books.toscrape.com/catalogue/the-little-prince_72/index.html
170,Sense and Sensibility,37.46,http://books.toscrape.com/catalogue/sense-and-sensibility_49/index.html
171,Of Mice and Men,47.11,http://books.toscrape.com/catalogue/of-mice-and-men_37/index.html
172,Emma,32.93,http://books.toscrape.com/catalogue/emma_17/index.html
173,Alice in Wonderland (Alice's ...,55.53,http://books.toscrape.com/catalogue/alice-in-wonderland-alices-adventures-in-wonderland-1_5/index.html
174,Eight Hundred Grapes,14.39,http://books.toscrape.com/catalogue/eight-hundred-grapes_690/index.html
175,Dear Mr. Knightley,11.21,http://books.toscrape.com/catalogue/dear-mr-knightley_684/index.html
176,Cometh the Hour (The ...,25.01,http://books.toscrape.com/catalogue/cometh-the-hour-the-clifton-chronicles-6_681/index.html
177,Balloon Animals,17.03,http://books.toscrape.com/catalogue/balloon-animals_665/index.html
178,A Man Called Ove,39.72,http://books.toscrape.com/catalogue/a-man-called-ove_653/index.html
179,The Silent Sister (Riley ...,46.29,http://books.toscrape.com/catalogue/the-silent-sister-riley-macpherson-1_641/index.html
180,The Dinner Party,56.54,http://books.toscrape.com/catalogue/the-dinner-party_635/index.html
181,The Improbability of Love,59.45,http://books.toscrape.com/catalogue/the-improbability-of-love_607/index.html
182,Mothering Sunday,13.34,http://books.toscrape.com/catalogue/mothering-sunday_600/index.html
183,Lies and Other Acts ...,45.14,http://books.toscrape.com/catalogue/lies-and-other-acts-of-love_596/index.html
184,Daredevils,16.34,http://books.toscrape.com/catalogue/daredevils_590/index.html
185,11/22/63,48.48,http://books.toscrape.com/catalogue/112263_583/index.html
186,The Shack,28.03,http://books.toscrape.com/catalogue/the-shack_576/index.html
187,The High Mountains of ...,51.15,http://books.toscrape.com/catalogue/the-high-mountains-of-portugal_547/index.html
188,Miller's Valley,58.54,http://books.toscrape.com/catalogue/millers-valley_534/index.html
189,Hystopia: A Novel,21.96,http://books.toscrape.com/catalogue/hystopia-a-novel_523/index.html
190,The Bourne Identity (Jason ...,42.78,http://books.toscrape.com/catalogue/the-bourne-identity-jason-bourne-1_492/index.html
191,Sister Dear,40.2,http://books.toscrape.com/catalogue/sister-dear_485/index.html
192,Memoirs of a Geisha,49.67,http://books.toscrape.com/catalogue/memoirs-of-a-geisha_477/index.html
193,Me Before You (Me ...,19.02,http://books.toscrape.com/catalogue/me-before-you-me-before-you-1_434/index.html
194,Chase Me (Paris Nights ...,25.27,http://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
195,Black Dust,34.53,http://books.toscrape.com/catalogue/black-dust_976/index.html
196,Her Backup Boyfriend (The ...,33.97,http://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html
197,First and First (Five ...,15.97,http://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html
198,Fifty Shades Darker (Fifty ...,21.96,http://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html
199,The Wedding Dress,24.12,http://books.toscrape.com/catalogue/the-wedding-dress_864/index.html
200,Suddenly in Love (Lake ...,55.99,http://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html
201,Something More Than This,16.24,http://books.toscrape.com/catalogue/something-more-than-this_834/index.html
202,Doing It Over (Most ...,35.61,http://books.toscrape.com/catalogue/doing-it-over-most-likely-to-1_802/index.html
203,The Wedding Pact (The ...,32.61,http://books.toscrape.com/catalogue/the-wedding-pact-the-omalleys-2_767/index.html
204,Hold Your Breath (Search ...,28.82,http://books.toscrape.com/catalogue/hold-your-breath-search-and-rescue-1_700/index.html
205,Dirty (Dive Bar #1),40.83,http://books.toscrape.com/catalogue/dirty-dive-bar-1_615/index.html
206,Take Me Home Tonight ...,53.98,http://books.toscrape.com/catalogue/take-me-home-tonight-rock-star-romance-3_605/index.html
207,Off the Hook (Fishing ...,47.67,http://books.toscrape.com/catalogue/off-the-hook-fishing-for-trouble-1_601/index.html
208,A Gentleman's Position (Society ...,14.75,http://books.toscrape.com/catalogue/a-gentlemans-position-society-of-gentlemen-3_584/index.html
209,"Sit, Stay, Love",20.9,http://books.toscrape.com/catalogue/sit-stay-love_486/index.html
210,A Girl's Guide to ...,31.3,http://books.toscrape.com/catalogue/a-girls-guide-to-moving-on-new-beginnings-2_359/index.html
211,The Perfect Play (Play ...,59.99,http://books.toscrape.com/catalogue/the-perfect-play-play-by-play-1_352/index.html
212,Dark Lover (Black Dagger ...,12.87,http://books.toscrape.com/catalogue/dark-lover-black-dagger-brotherhood-1_319/index.html
213,Changing the Game (Play ...,13.38,http://books.toscrape.com/catalogue/changing-the-game-play-by-play-2_317/index.html
214,Birdsong: A Story in ...,54.64,http://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
215,The Bear and the ...,36.89,http://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
216,The Secret of Dreadwillow ...,56.13,http://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
217,The White Cat and ...,58.08,http://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html
218,Little Red,13.47,http://books.toscrape.com/catalogue/little-red_817/index.html
219,Walt Disney's Alice in ...,12.96,http://books.toscrape.com/catalogue/walt-disneys-alice-in-wonderland_777/index.html
220,Twenty Yawns,22.08,http://books.toscrape.com/catalogue/twenty-yawns_773/index.html
221,Rain Fish,23.57,http://books.toscrape.com/catalogue/rain-fish_728/index.html
222,Once Was a Time,18.28,http://books.toscrape.com/catalogue/once-was-a-time_724/index.html
223,Luis Paints the World,53.95,http://books.toscrape.com/catalogue/luis-paints-the-world_714/index.html
224,Nap-a-Roo,25.08,http://books.toscrape.com/catalogue/nap-a-roo_567/index.html
225,The Whale,35.96,http://books.toscrape.com/catalogue/the-whale_501/index.html
226,"Shrunken Treasures: Literary Classics, ...",52.87,http://books.toscrape.com/catalogue/shrunken-treasures-literary-classics-short-sweet-and-silly_484/index.html
227,Raymie Nightingale,34.41,http://books.toscrape.com/catalogue/raymie-nightingale_482/index.html
228,Playing from the Heart,32.38,http://books.toscrape.com/catalogue/playing-from-the-heart_481/index.html
229,Maybe Something Beautiful: How ...,22.54,http://books.toscrape.com/catalogue/maybe-something-beautiful-how-art-transformed-a-neighborhood_386/index.html
230,The Wild Robot,56.07,http://books.toscrape.com/catalogue/the-wild-robot_288/index.html
231,The Thing About Jellyfish,48.77,http://books.toscrape.com/catalogue/the-thing-about-jellyfish_283/index.html
232,The Lonely Ones,43.59,http://books.toscrape.com/catalogue/the-lonely-ones_261/index.html
233,The Day the Crayons ...,26.33,http://books.toscrape.com/catalogue/the-day-the-crayons-came-home-crayons_241/index.html
234,When I'm Gone,51.96,http://books.toscrape.com/catalogue/when-im-gone_95/index.html
235,The Silent Wife,12.34,http://books.toscrape.com/catalogue/the-silent-wife_83/index.html
236,The Bette Davis Club,30.66,http://books.toscrape.com/catalogue/the-bette-davis-club_59/index.html
237,Kitchens of the Great ...,57.2,http://books.toscrape.com/catalogue/kitchens-of-the-great-midwest_28/index.html
238,Bright Lines,39.07,http://books.toscrape.com/catalogue/bright-lines_11/index.html
239,Deception Point,40.32,http://books.toscrape.com/catalogue/deception-point_426/index.html
240,The Little Paris Bookshop,24.73,http://books.toscrape.com/catalogue/the-little-paris-bookshop_407/index.html
241,The Firm,45.56,http://books.toscrape.com/catalogue/the-firm_404/index.html
